name,_pac,_sho,_pas,_dri,_def,_phy,_ovr,skills,wf,positions,playstyle_plus,playstyles,att_wr,def_wr
Adrián Marín,73,48,66,69,69,73,74,3,2,"LB,LWB",None,"BLOCK,ANTICIPATE",Medium,Medium
Andrea Marrero,48,49,63,64,77,66,74,2,2,CB,None,-,Medium,Medium
Eric Martel,63,51,60,69,75,80,74,2,3,"CB,CDM",None,"INTERCEPT,SLIDE TACKLE,RELENTLESS",Medium,High
Lara Marti,71,49,61,63,74,69,74,2,2,"LB,LM,LWB",None,BLOCK,Medium,High
Nealy Martin,63,49,67,66,76,63,74,2,3,"RB,CDM",None,-,Medium,Medium
Iván Martín,74,71,74,77,59,52,74,3,3,"RM,CM,CAM",None,TECHNICAL,High,Low
José Andrés Martínez,72,43,60,71,74,81,74,2,3,CDM,None,"BRUISER,SLIDE TACKLE",High,High
David Martínez,78,54,69,66,72,78,74,2,3,"CB,LB",None,LONG BALL PASS,High,Medium
Bruno Martins Indi,37,42,58,58,76,78,74,2,3,CB,None,-,Low,Medium
Lukáš Masopust,80,66,69,75,68,76,74,3,4,"RM,RB,RW",None,"LONG THROW,TECHNICAL",Medium,Medium
Cheyna Matthews,70,74,65,73,42,58,74,3,3,"ST,CF",None,"TRIVELA,CHIP SHOT,FINESSE SHOT",Medium,Medium
Neal Maupay,69,76,67,71,41,72,74,3,3,"ST,CF",None,"ACROBATIC,RELENTLESS",High,Medium
Borja Mayoral,64,74,67,74,38,65,74,3,4,"ST,CF",None,TRIVELA,Medium,Medium
Tegan McGrady,69,48,67,67,73,61,74,3,2,"LB,LWB",None,-,Medium,Medium
Mark McKenzie,81,36,50,64,73,77,74,2,5,CB,None,AERIAL,Medium,Medium
Nico Melamed,78,66,75,77,40,57,74,4,3,"LM,CAM,CM",None,"FIRST TOUCH,TECHNICAL,FLAIR,FINESSE SHOT",High,Medium
Melero,49,75,73,70,70,74,74,3,3,"CM,CAM,CDM",None,FINESSE SHOT,Medium,Medium
Lorenzo Melgarejo,84,72,65,76,56,70,74,4,3,"LM,ST,CF",None,"FIRST TOUCH,RAPID",High,Medium
Eugenio Mena,75,52,69,70,70,72,74,3,3,"LB,LWB",None,"WHIPPED PASS,SLIDE TACKLE,ANTICIPATE",High,Medium
Fran Mérida,55,72,77,72,67,70,74,3,3,"CM,CDM",None,"TIKI TAKA,JOCKEY,LONG BALL PASS,FLAIR",Medium,Medium
Bautista Merlini,85,66,68,77,41,56,74,4,3,"RM,LM,LW",None,"WHIPPED PASS,TECHNICAL",High,High
Addisyn Merrick,56,42,59,68,78,63,74,2,3,CB,None,-,Medium,Medium
Max Meyer,63,67,76,75,63,63,74,4,4,"CM,CAM",None,"WHIPPED PASS,LONG BALL PASS,PRESS PROVEN,FINESSE SHOT",Medium,Medium
Fredrik Midtsjø,76,63,73,72,72,78,74,3,3,"CM,CDM",None,"INTERCEPT,PRESS PROVEN",Medium,High
Georges Mikautadze,80,76,70,78,37,69,74,4,3,"ST,CF",None,TECHNICAL,High,Medium
Takumi Minamino,76,73,69,79,38,61,74,3,4,"RM,LM,LW",None,-,High,Medium
Mingueza,74,35,65,64,72,74,74,2,3,"RB,CB,RWB",None,"JOCKEY,BRUISER",Medium,Medium
Leonel Miranda,75,67,75,75,67,68,74,3,3,CM,None,LONG BALL PASS,Medium,Medium
Josip Mišić,68,69,77,65,68,75,74,2,5,"CDM,CM",None,"TIKI TAKA,INTERCEPT,LONG BALL PASS,SLIDE TACKLE",Medium,Medium
Virgil Misidjan,84,70,66,79,31,58,74,3,4,"RM,LM,LW",None,"FLAIR,QUICK STEP,RAPID,FINESSE SHOT",Medium,Low
Stefan Mitrović,32,34,54,53,74,81,74,2,5,CB,None,LONG BALL PASS,Low,High
Maximilian Mittelstädt,76,61,67,73,70,67,74,3,3,"LB,LM,LWB",None,INTERCEPT,High,Medium
Jakub Moder,64,70,74,72,69,72,74,3,5,"LM,CM,CDM",None,-,Medium,Medium
Mostafa Mohamed,74,74,57,69,37,79,74,3,5,"ST,CF",None,"POWER HEADER,AERIAL",Medium,Medium
Stoichkov,73,76,69,75,46,70,74,4,3,"LW,LM,CAM,ST",None,"FLAIR,POWER SHOT,FINESSE SHOT",High,Medium
Emre Mor,89,65,66,83,38,59,74,4,3,"RM,RW,LW",None,"TECHNICAL,QUICK STEP,FLAIR",High,Medium
Leonardo Morales,71,33,53,63,76,78,74,2,3,CB,None,BLOCK,Low,High
Lewis Morgan,84,72,69,74,63,67,74,3,5,"LW,LM,CAM,CF",None,"TRIVELA,INCISIVE PASS,WHIPPED PASS,FINESSE SHOT,RAPID",High,High
Esme Morgan,76,34,71,67,72,68,74,2,3,"RB,LB,CB,RWB",None,-,Medium,Medium
Nikola Moro,68,70,73,73,69,77,74,3,5,"CDM,CM",None,INCISIVE PASS,High,Medium
Dany Mota,79,73,66,76,31,65,74,3,3,"ST,CF",None,FLAIR,Medium,Medium
Olivia Moultrie,67,72,71,73,65,55,74,3,3,CM,None,-,Medium,Medium
Aihen Muñoz,77,54,69,73,72,70,74,3,3,"LB,LWB",None,TECHNICAL,High,Medium
Alex Muñoz,82,68,64,66,70,81,74,2,3,"CB,LB,LWB",None,"RELENTLESS,ANTICIPATE,JOCKEY,BRUISER,POWER SHOT",High,Medium
Petar Musa,83,73,62,69,39,82,74,3,3,"ST,CF",None,AERIAL,High,Medium
Yunus Musah,84,68,71,76,69,72,74,4,3,"RM,CM",None,"QUICK STEP,RAPID",Medium,Medium
Knowledge Musona,72,72,73,74,42,76,74,3,4,"LW,LM,CAM",None,"RELENTLESS,FLAIR",Medium,Low
Phillipp Mwene,79,50,66,74,68,70,74,3,4,"RB,LB,RWB",None,ANTICIPATE,High,Medium
Koko Ange N'Guessan,74,72,74,74,41,57,74,4,4,"RM,RW,LW",None,TECHNICAL,Medium,Medium
Na Sang Ho,89,72,64,74,36,75,74,4,4,"RM,RW,LM",None,"TIKI TAKA,QUICK STEP,RAPID,FINESSE SHOT",High,Medium
Fuka Nagano,78,60,72,78,61,63,74,3,3,"CM,CAM",None,"TIKI TAKA,TECHNICAL,FIRST TOUCH",Medium,Medium
Darlington Nagbe,76,67,71,78,63,73,74,3,2,"CM,CDM",None,TECHNICAL,Medium,High
Marvelous Nakamba,59,49,62,71,74,75,74,3,2,"CDM,CM",None,SLIDE TACKLE,Low,High
Khaled Narey,82,68,68,75,62,73,74,3,5,"RM,RB,RW",None,"TRIVELA,RAPID",Medium,Medium
Iliman Ndiaye,84,74,64,80,37,66,74,4,3,"ST,CAM,CF",None,"TECHNICAL,FLAIR",Medium,High
Simona Necidová,50,26,51,51,76,72,74,2,3,CB,None,BLOCK,Medium,Medium
Reiss Nelson,86,66,69,78,36,55,74,4,3,"RM,RW,LW",None,"TECHNICAL,FLAIR",High,Medium
Neto Borges,70,50,65,72,69,80,74,3,3,"LB,LWB",None,"WHIPPED PASS,RAPID",High,Medium
Carlos Neva,77,52,62,70,71,68,74,3,2,"LB,LM,LWB",None,"BLOCK,RAPID",High,Medium
Arnaud Nordin,82,70,70,75,37,58,74,3,4,"RM,RW,ST",None,-,Medium,Medium
Oliver Norwood,48,66,77,67,68,63,74,2,3,"CDM,CM",None,"FIRST TOUCH,LONG BALL PASS,SLIDE TACKLE,ANTICIPATE",Medium,Medium
Luís Neto,58,37,54,56,77,72,74,2,3,CB,None,SLIDE TACKLE,Low,High
Gerzino Nyamsi,40,33,51,56,74,81,74,2,2,CB,None,"JOCKEY,BRUISER",Medium,Medium
Armando Obispo,73,42,60,66,72,79,74,2,2,CB,None,AERIAL,Medium,Medium
Vadis Odjidja-Ofoe,43,69,75,72,68,74,74,3,4,"CM,CAM",None,-,High,Medium
Masaya Okugawa,79,65,69,77,43,45,74,4,4,"LW,LM,CAM",None,"TECHNICAL,FLAIR",Medium,Medium
Kristoffer Olsson,69,64,74,76,68,65,74,4,3,"CAM,CM,CDM",None,"TIKI TAKA,INCISIVE PASS,LONG BALL PASS,PRESS PROVEN",High,Medium
Jean Onana,54,66,70,71,71,82,74,3,3,"CM,CDM",None,-,Medium,Medium
Henry Onyekuru,92,70,63,76,35,56,74,4,4,"LM,LW",None,"QUICK STEP,RAPID",High,Low
Ivan Ordets,63,53,49,46,75,82,74,2,3,CB,None,"INTERCEPT,POWER HEADER,BRUISER,AERIAL",Medium,Medium
Bright Osayi-Samuel,93,58,62,78,66,81,74,3,3,"RM,RB,RWB",None,"JOCKEY,BRUISER,QUICK STEP,RAPID",High,Medium
Adam Ounas,83,66,70,79,44,63,74,4,4,"RM,RW,ST",None,TECHNICAL,Medium,Low
Reece Oxford,65,33,54,61,75,76,74,2,3,"CB,CDM",None,-,Medium,Medium
Willian Pacho,83,32,56,59,73,79,74,2,2,CB,None,"LONG BALL PASS,BLOCK",Low,Medium
Agustín Palavecino,77,72,74,77,62,65,74,4,3,"CM,CAM",None,"TRIVELA,FIRST TOUCH,POWER SHOT,INCISIVE PASS,LONG BALL PASS",Medium,Low
Filip Panák,70,53,66,70,74,73,74,3,4,"CB,CDM",None,LONG BALL PASS,High,Medium
Lucía Pardo,82,77,71,77,32,64,74,3,3,"ST,CF",None,RAPID,Medium,Low
Anna Patten,65,44,62,63,76,71,74,2,3,CB,None,-,Medium,Medium
Marcus Holmgren Pedersen,90,49,68,72,66,70,74,3,4,"RB,LB,RWB",None,"JOCKEY,RAPID",High,High
Luca Pellegrini,75,54,66,75,71,61,74,3,4,"LB,LM,LWB",None,LONG BALL PASS,Medium,Medium
David Costa,72,68,67,81,33,43,74,3,3,"LM,LW",None,TECHNICAL,High,Low
Danilo,75,74,61,74,25,72,74,3,3,"ST,CF",None,"TRIVELA,TECHNICAL,FLAIR",High,Medium
Jeffinho,87,55,66,80,35,47,74,5,3,"LM,LW",None,TECHNICAL,High,Medium
Guga Rodrigues,68,66,75,75,66,63,74,3,4,CM,None,"FIRST TOUCH,PINGED PASS,LONG BALL PASS,PRESS PROVEN,DEAD BALL",Medium,Medium
Joaquín Pereyra,67,67,75,73,63,66,74,3,3,"LM,CM",None,"PRESS PROVEN,POWER SHOT",High,High
Courtney Petersen,75,55,67,70,69,69,74,3,3,"LB,LWB",None,-,Medium,Medium
Patric Pfeiffer,72,35,47,57,74,81,74,2,5,CB,None,"INTERCEPT,POWER HEADER,LONG BALL PASS,AERIAL",Medium,High
Maximilian Philipp,77,75,69,77,42,59,74,3,4,"CF,CAM,ST",None,"ACROBATIC,TECHNICAL",Medium,Low
Amos Pieper,66,32,52,52,77,75,74,2,3,CB,None,AERIAL,Medium,Medium
Andrea Pinamonti,74,76,53,71,27,73,74,3,3,"ST,CF",None,TRIVELA,Medium,Medium
Tozé,74,76,76,79,54,58,74,4,3,"CM,CAM",None,FIRST TOUCH,High,Medium
Joël Piroe,66,76,62,70,29,71,74,3,4,"RW,ST,CF",None,FINESSE SHOT,Medium,Medium
Joel Pohjanpalo,68,75,62,70,37,72,74,3,3,"ST,CF",None,"POWER HEADER,AERIAL",Medium,Medium
Marin Pongračić,65,26,52,63,73,75,74,2,3,CB,None,"LONG BALL PASS,BRUISER",Medium,High
Denys Popov,63,38,48,57,74,74,74,2,4,CB,None,POWER HEADER,High,Medium
Alexander Prass,73,65,73,75,69,75,74,3,3,"LM,CM",None,"INCISIVE PASS,TECHNICAL,FLAIR",High,Medium
Carlos Quintana,48,37,48,49,75,79,74,2,3,CB,None,"INTERCEPT,POWER HEADER,BRUISER,AERIAL",Low,High
Romell Quioto,81,73,69,72,22,79,74,3,4,"ST,CF",None,"POWER HEADER,TECHNICAL",High,Low
Nina Räcke,69,52,69,65,75,71,74,2,2,CB,None,-,Medium,Medium
Aaron Ramsey,47,68,77,77,65,61,74,3,3,"CM,CAM",None,TRIVELA,Medium,Medium
Brittany Ratcliffe,69,72,68,71,41,66,74,3,3,"LM,ST,CF",None,FINESSE SHOT,Medium,Medium
Fabian Reese,86,68,69,70,45,78,74,3,4,"RM,LM,ST,LW",None,"QUICK STEP,LONG THROW,WHIPPED PASS,FLAIR,RAPID",High,High
Ludovit Reis,75,63,70,78,67,72,74,3,4,"CM,CDM",None,"TIKI TAKA,SLIDE TACKLE,FLAIR",High,Medium
Elvis Rexhbeçaj,66,66,71,74,68,73,74,3,3,"CM,CDM",None,"BLOCK,POWER SHOT,RELENTLESS",High,Medium
Chris Richards,71,27,58,55,74,71,74,2,4,CB,None,POWER HEADER,Medium,Medium
Fabian Rieder,74,69,71,75,51,63,74,3,3,"CM,CAM",None,"FIRST TOUCH,INCISIVE PASS,LONG BALL PASS,WHIPPED PASS,DEAD BALL",High,Medium
Jaïro Riedewald,58,56,74,69,73,68,74,3,2,"CDM,CM",None,-,Medium,Medium
Nadine Riesen,69,60,65,70,73,64,74,2,2,"RB,CB,RWB",None,RAPID,Medium,High
Stefan Ristovski,81,61,66,68,71,79,74,3,3,"RM,RB,CB,RWB",None,"LONG THROW,RAPID",High,High
Katie Robinson,79,66,68,75,38,63,74,3,3,"RM,RW,LM",None,"WHIPPED PASS,RAPID",High,Medium
Joe Rodon,54,32,51,57,75,73,74,2,4,CB,None,AERIAL,Medium,Medium
Luis Miguel Rodríguez,64,77,75,79,43,67,74,4,4,"ST,CAM,CF",None,"CHIP SHOT,ACROBATIC,FIRST TOUCH,TRIVELA,FLAIR,FINESSE SHOT,DEAD BALL",Medium,Low
Jorge Rodríguez,61,61,62,69,73,80,74,2,2,"CB,CDM,CM",None,LONG BALL PASS,Low,High
Puertas,76,72,71,73,43,74,74,3,3,"RM,RW,LM",None,"RAPID,RELENTLESS",High,High
Monchu,69,70,73,72,67,66,74,3,3,"CM,CDM",None,DEAD BALL,Medium,Medium
Robert Rojas,81,56,64,66,73,76,74,2,3,"RB,CB,RWB",None,"POWER HEADER,LONG THROW,AERIAL",Medium,High
Madeline Roth,72,74,68,77,42,62,74,3,3,"CF,ST",None,"RELENTLESS,TIKI TAKA,PRESS PROVEN,FLAIR",High,Medium
Anthony Rouault,54,30,60,56,75,73,74,2,3,CB,None,"BLOCK,ANTICIPATE",Medium,Medium
Albert Rusnák,74,72,73,75,52,64,74,4,5,"CDM,CAM,CM",None,"INCISIVE PASS,FLAIR",High,Medium
Michal Sadílek,56,61,70,72,71,76,74,3,4,"LB,CDM,CM",None,SLIDE TACKLE,Medium,Medium
Lukáš Sadílek,69,63,73,73,68,69,74,3,3,"CM,CDM",None,"LONG THROW,TECHNICAL",High,High
Wesley Saïd,72,74,67,77,30,58,74,4,3,"ST,CF",None,"TECHNICAL,FINESSE SHOT",Medium,Medium
Samu Sáiz,76,73,73,77,31,69,74,4,3,"LM,CAM",None,"TRIVELA,TECHNICAL,FLAIR",High,Medium
Albert Sambi Lokonga,66,58,74,77,68,68,74,3,3,"CDM,CM",None,FLAIR,Medium,Medium
Jorge Sánchez,84,50,63,72,70,78,74,3,4,"RB,RWB",None,"LONG THROW,ANTICIPATE",Medium,High
Germán,45,40,57,54,76,78,74,2,2,CB,None,"POWER HEADER,BRUISER,SLIDE TACKLE",Medium,High
Manu Sánchez,73,44,62,68,72,60,74,3,3,"LB,LM,LWB",None,BLOCK,Medium,Medium
Ilie Sánchez,46,49,67,69,69,77,74,2,3,"CB,CDM,CM",None,"INCISIVE PASS,LONG BALL PASS,PRESS PROVEN",Medium,High
Curro Sánchez,76,73,72,74,42,50,74,3,3,"RM,RW,CM,CAM",None,"TECHNICAL,DEAD BALL",High,Medium
Agustín Sant'Anna,74,59,70,70,73,58,74,2,3,"RB,RWB",None,"INTERCEPT,WHIPPED PASS,BLOCK,ANTICIPATE",Medium,Medium
Daniel Bragança,79,65,75,79,64,62,74,4,4,CM,None,"TECHNICAL,FLAIR,FINESSE SHOT",Medium,Medium
Malang Sarr,66,52,69,65,75,74,74,2,2,"CB,LB",None,-,Medium,Medium
Jefferson Savarino,82,71,67,78,37,64,74,4,4,"RM,RW,ST",None,"ACROBATIC,TIKI TAKA,TECHNICAL,FLAIR",High,Medium
Amir Sâyoud,74,71,73,77,32,65,74,4,3,"RM,RW,CAM",None,"TRICKSTER,FIRST TOUCH,TECHNICAL,FLAIR",Medium,Medium
Joe Scally,81,43,63,71,71,72,74,2,3,"RB,RWB",None,-,Medium,Medium
Benno Schmitz,61,50,71,70,75,74,74,2,4,"RB,RWB",None,SLIDE TACKLE,Medium,Medium
Rob Schoofs,55,69,73,73,66,64,74,3,3,"CAM,CM,CDM",None,TRIVELA,High,Medium
Ivan Schranz,81,74,67,72,63,75,74,3,3,"RM,LM,LW",None,RAPID,High,High
Richard Schunke,59,34,53,55,73,80,74,2,2,CB,None,"LONG BALL PASS,BLOCK",Medium,Medium
Stefan Schwab,63,71,75,72,70,75,74,3,3,"CM,CDM",None,"POWER HEADER,LONG BALL PASS",High,High
Faïz Selemani,82,73,71,77,56,61,74,4,3,"LW,LM,CAM",None,"TECHNICAL,QUICK STEP,FLAIR",High,Medium
Lawrence Shankland,66,77,62,72,28,78,74,2,4,"ST,CAM,CF",None,POWER HEADER,High,Medium
Moses Simon,88,68,68,78,33,61,74,4,4,"LW,LM,ST",None,"QUICK STEP,RAPID,FLAIR",High,Medium
Manolis Siopis,76,45,64,70,74,74,74,2,2,"CDM,CM",None,"JOCKEY,SLIDE TACKLE,RELENTLESS",Medium,High
Ibrahima Sissoko,59,60,70,68,72,84,74,3,4,"CB,CM,CDM",None,-,Medium,Medium
Robert Skov,74,77,76,74,66,69,74,3,3,"RM,RB,LWB,RWB",None,"WHIPPED PASS,POWER SHOT",Medium,Medium
Adam Smith,64,60,70,70,73,71,74,3,3,"RB,RWB",None,SLIDE TACKLE,Medium,Medium
Taylor Smith,87,74,69,71,41,71,74,3,3,"LM,LW",None,-,Medium,Medium
Josué,37,72,78,76,52,64,74,4,2,"CM,CAM,CF",None,"INCISIVE PASS,LONG BALL PASS,WHIPPED PASS,FLAIR,DEAD BALL",Low,Low
Rubén Sobrino,75,74,71,76,37,63,74,3,4,"RM,LM,ST,LW",None,RAPID,High,Medium
Ramón Sosa,82,66,68,75,49,61,74,3,4,"RM,LM,LW",None,TECHNICAL,High,Medium
Brenner,79,71,64,77,32,57,74,3,3,"ST,CF",None,FLAIR,High,Low
Meredith Speck,69,66,75,74,64,60,74,3,3,"CM,CAM",None,-,Medium,Medium
Djed Spence,88,43,61,74,68,63,74,3,3,"RB,RWB",None,TECHNICAL,High,High
Drew Spence,34,74,73,72,61,70,74,3,4,"CM,CAM",None,"POWER HEADER,TECHNICAL,POWER SHOT",Medium,Medium
Jens Stage,73,65,70,72,72,81,74,3,3,CM,None,RELENTLESS,High,High
Benjamin Stambouli,51,58,66,71,71,75,74,2,4,"CB,CDM,CM",None,"LONG BALL PASS,PRESS PROVEN",Medium,High
Nikki Stanton,55,53,65,66,73,68,74,2,3,CDM,None,-,Medium,Medium
Carl Starfelt,75,31,53,68,74,76,74,2,3,CB,None,BLOCK,Medium,Medium
Niklas Stark,72,50,62,66,74,76,74,2,3,"CB,CDM",None,SLIDE TACKLE,Medium,Medium
Jack Stephens,43,42,61,67,75,72,74,2,2,CB,None,"LONG BALL PASS,BLOCK",Medium,Medium
Ella Stevens,69,74,66,67,42,66,74,3,3,"ST,CF",None,INCISIVE PASS,High,Medium
Julia Stierli,60,48,49,57,76,65,74,2,2,CB,None,BRUISER,Low,Medium
Petar Stojanović,78,51,70,71,69,73,74,3,3,"RB,RWB",None,LONG BALL PASS,High,High
Kylie Strom,73,49,68,64,71,68,74,3,3,"LB,LWB",None,"INCISIVE PASS,BLOCK,ANTICIPATE",Medium,Medium
Luka Sučić,76,73,74,74,49,66,74,3,3,"CM,CAM",None,"TECHNICAL,TRIVELA,POWER SHOT,INCISIVE PASS,LONG BALL PASS",Medium,Medium
Kamaldeen Sulemana,93,69,66,79,28,60,74,4,4,"LM,LW,ST",None,"FLAIR,RAPID,FINESSE SHOT",Medium,Medium
Eva Sumo,61,64,72,79,65,67,74,4,4,"CM,CDM",None,TECHNICAL,Medium,Medium
Karol Świderski,68,74,62,71,32,72,74,3,3,"ST,CAM,CF",None,POWER HEADER,High,Medium
John Swift,64,74,74,76,58,59,74,4,2,"CM,CAM",None,"INCISIVE PASS,PRESS PROVEN,TRIVELA,FLAIR",Medium,Low
Montassar Talbi,60,30,42,57,75,77,74,2,3,CB,None,"AERIAL,SLIDE TACKLE,BLOCK,ANTICIPATE",Medium,High
Adrien Tameze,78,64,68,77,74,77,74,3,3,"CM,CDM",None,TECHNICAL,Medium,High
Japhet Tanganga,73,33,63,70,75,77,74,2,3,"RB,CB,RWB",None,"BRUISER,SLIDE TACKLE",Medium,High
Nathan Tella,88,69,65,76,33,58,74,3,3,"RM,LM,RW,ST",None,"QUICK STEP,RAPID",High,Medium
Simon Terodde,54,76,55,66,38,77,74,3,3,"ST,CF",None,"POWER HEADER,CHIP SHOT,FINESSE SHOT",Medium,Medium
Morten Thorsby,64,63,70,72,75,81,74,2,3,"LM,CM",None,"POWER HEADER,SLIDE TACKLE,BLOCK",High,High
Guus Til,68,73,70,72,61,77,74,3,3,"CM,CAM",None,-,High,Medium
Malik Tillman,81,68,67,78,59,65,74,4,3,"CM,CAM,ST",None,"TECHNICAL,FIRST TOUCH,POWER SHOT,INCISIVE PASS,FLAIR",High,Medium
Quinten Timber,74,61,70,78,69,80,74,3,4,"CM,CAM,CDM",None,TECHNICAL,High,Medium
Marcel Tisserand,72,58,67,67,73,82,74,3,3,"CB,RB",None,-,Medium,High
Dorukhan Toköz,71,68,71,75,74,74,74,3,3,"RB,CM,CDM",None,-,Medium,High
Hassan Tombakti,87,34,58,65,75,79,74,2,3,CB,None,"JOCKEY,LONG BALL PASS,SLIDE TACKLE,ANTICIPATE",Medium,High
Ömer Toprak,62,39,59,67,76,72,74,2,4,CB,None,"JOCKEY,AERIAL",Medium,Medium
Maddi Torre,60,56,75,68,73,68,74,3,2,"LB,CDM",None,-,Low,Medium
Miguel Ángel Torrén,68,49,65,63,74,76,74,2,3,CB,None,-,Medium,Medium
Jordan Torunarigha,85,41,63,65,74,75,74,2,2,"CB,LB",None,-,High,Medium
Lassina Traoré,78,72,57,69,30,77,74,3,3,"ST,CF",None,POWER HEADER,High,Medium
Salih Uçan,57,70,75,75,66,65,74,3,4,"CAM,CM,CDM",None,"LONG BALL PASS,PRESS PROVEN,FLAIR",Medium,Medium
Mikael Uhre,88,73,51,70,33,78,74,2,4,"ST,CF",None,"TRIVELA,RAPID",High,Medium
Marta Unzué,66,72,74,64,72,68,74,3,3,"CDM,CM",None,-,Medium,Medium
Bruno Valdez,56,40,58,58,74,80,74,2,3,CB,None,"POWER HEADER,BRUISER,AERIAL",Low,High
Vallejo,66,42,56,64,76,64,74,2,3,CB,None,-,Low,Medium
Amalie Vangsgaard,72,74,63,67,39,65,74,3,3,"ST,CF",None,FINESSE SHOT,Medium,Medium
Dante Vanzeir,85,74,67,73,36,72,74,3,4,"ST,CF",None,"TIKI TAKA,RAPID",High,Medium
Ruben Vargas,84,69,66,78,54,64,74,4,4,"RM,LM,LW,CF",None,TECHNICAL,High,Medium
Emiliano Vecchio,64,72,76,73,60,70,74,3,3,"CM,CAM",None,"INCISIVE PASS,TECHNICAL,POWER SHOT",High,Medium
Lars Veldwijk,57,75,54,65,33,83,74,3,4,"ST,CF",None,"AERIAL,BRUISER,TRIVELA,POWER SHOT,POWER HEADER",High,Medium
Unai Vencedor,62,68,73,74,74,73,74,3,4,"CM,CDM",None,LONG BALL PASS,Medium,Medium
Simone Verdi,76,73,75,78,43,49,74,4,5,"CF,CAM,ST",None,"INCISIVE PASS,TRIVELA,CHIP SHOT,FLAIR",Medium,Low
Jannik Vestergaard,33,48,61,48,74,77,74,2,4,CB,None,"POWER HEADER,LONG BALL PASS,BRUISER",Medium,Medium
Toni Villa,74,65,73,77,53,48,74,4,4,"RM,LM,LW",None,"TECHNICAL,FLAIR",High,Medium
Luca Waldschmidt,68,77,69,76,29,61,74,3,3,"CF,ST",None,FINESSE SHOT,High,Medium
Marvin Wanitzek,73,68,76,74,59,68,74,3,3,CM,None,"WHIPPED PASS,RELENTLESS,DEAD BALL,FINESSE SHOT",High,Medium
Victor Wanyama,50,63,65,70,71,88,74,2,3,"CDM,CM",None,"POWER HEADER,LONG BALL PASS",Low,Medium
Joel Ward,51,52,68,66,77,70,74,3,3,"RB,RWB",None,-,Medium,High
Ally Watt,84,72,62,69,41,67,74,2,3,"RM,ST,CF",None,QUICK STEP,Medium,Medium
Timothy Weah,85,70,67,75,63,70,74,3,3,"RM,RB,LB,RW",None,"TRIVELA,QUICK STEP,FLAIR",Medium,Medium
Ben Whiteman,69,67,75,71,68,77,74,3,3,"CDM,CM",None,"INTERCEPT,LONG BALL PASS",Medium,High
Harry Winks,55,59,74,74,69,64,74,3,3,"CDM,CM",None,-,Medium,Medium
Joe Worrall,50,25,51,45,75,76,74,2,2,CB,None,LONG BALL PASS,Medium,High
Haji Wright,81,72,54,67,24,82,74,2,4,"ST,CF",None,"AERIAL,RAPID",Medium,Low
Rıdvan Yılmaz,86,50,66,77,67,59,74,2,2,"LB,LWB",None,"WHIPPED PASS,QUICK STEP",High,Medium
Yoon Bit Garam,68,68,76,72,61,66,74,3,4,"CM,CDM",None,"INCISIVE PASS,LONG BALL PASS,DEAD BALL,FINESSE SHOT",Medium,Medium
Zaydou Youssouf,64,60,72,79,65,73,74,3,3,"RM,CM,CDM",None,"PRESS PROVEN,TRIVELA",Medium,Medium
Kristoffer Zachariassen,74,70,69,72,68,75,74,3,3,"RM,CAM",None,RELENTLESS,High,Medium
Dan-Axel Zagadou,58,34,60,50,74,80,74,2,3,CB,None,"POWER HEADER,AERIAL,BLOCK",Medium,Medium
Warren Zaïre-Emery,75,62,71,75,69,71,74,3,3,"CM,CDM",None,-,Medium,Medium
Rodrigo Zalazar,78,69,72,79,62,69,74,3,3,"CM,CAM",None,"TECHNICAL,TRIVELA,POWER SHOT,INCISIVE PASS,WHIPPED PASS,FLAIR",High,High
Zaldúa,62,37,66,65,73,73,74,2,3,"RB,RWB",None,LONG THROW,High,Medium
Carlos Zambrano,53,48,59,66,73,77,74,2,3,CB,None,SLIDE TACKLE,Low,High
Anass Zaroury,84,68,68,76,27,61,74,4,5,"LW,LM,ST",None,"TECHNICAL,FLAIR",High,Medium
Akim Zedadka,80,55,65,72,67,66,74,3,3,"RB,RWB",None,RAPID,High,Medium
Jaroslav Zelený,73,62,68,71,73,75,74,3,3,"CB,LB,LM,LWB",None,-,Medium,Medium
Cédric Zesiger,62,45,57,61,72,81,74,2,3,CB,None,"JOCKEY,LONG BALL PASS,BLOCK",Medium,Medium
Cora Zicai,74,74,71,70,51,62,74,3,2,"LM,RW,LW",None,-,Medium,Medium
Philip Zinckernagel,86,70,70,76,42,69,74,4,3,"LW,CF,CAM",None,"TRIVELA,TECHNICAL,FLAIR,FINESSE SHOT",High,Medium
Robert Žulj,60,75,76,73,40,73,74,3,3,"CF,CAM",None,-,Medium,Low
Fernando Zuqui,73,63,75,73,68,72,74,3,3,"CM,CDM",None,RELENTLESS,High,High
Szymon Żurkowski,78,73,72,75,69,79,74,3,3,CM,None,-,High,High
Max Aarons,81,42,62,73,69,74,73,3,3,"RB,RWB",None,"QUICK STEP,RAPID",High,Medium
Mehdi Abeid,60,68,70,73,67,75,73,3,4,"CDM,CM",None,-,Medium,Medium
Kerry Abello,72,64,71,72,70,64,73,2,3,"CM,CDM",None,-,High,Medium
Frank Acheampong,91,74,68,78,44,77,73,4,3,"LM,ST,LW,CF",None,"QUICK STEP,RAPID",High,Low
Arijan Ademi,67,65,66,72,69,80,73,3,3,"CM,CDM",None,"RELENTLESS,LONG BALL PASS,ANTICIPATE",High,Medium
Simon Adingra,85,69,66,77,29,51,73,3,3,"LW,LM,ST",None,"TECHNICAL,FLAIR",High,Medium
